task,model,best_learning_rate,best_batch_size,best_rc_aug,mcc_mean,mcc_std,accuracy_mean,accuracy_std,f1_mean,f1_std,precision_mean,precision_std,recall_mean,recall_std,replicate_count
enhancers,Mamba-bpe,5e-05,256,True,0.4866259671174563,0.007862029967141422,0.7355897426605225,0.00570112453720578,0.755012741455665,0.0033018942485002777,0.6851499126507685,0.010730537157240308,0.8412832892858065,0.017561235024210746,13
enhancers,Mamba-char,0.002,256,True,0.48944982198568493,0.011106368934510258,0.7373076860721295,0.004852378440448062,0.7552718703563397,0.00782025438634966,0.6884542107582092,0.012281599890062715,0.8377362535550044,0.032145077057816336,13
enhancers_types,CNN,0.001,64,False,0.44234217206637066,0.006993058011337976,0.7053333520889282,0.005044255262050092,0.5013497471809387,0.006811326546312952,0.6286720037460327,0.07998114206305838,0.5025890072186788,0.004648858326492547,3
enhancers_types,Caduceus,0.001,128,True,0.4609411895275116,0.01010063823686722,0.708733332157135,0.010959858548166286,0.49399403035640715,0.021664345999313894,0.546956580877304,0.08518747662188958,0.5031815290451049,0.012510373141889122,10
enhancers_types,HyenaDNA,0.0002,256,True,0.4474447477947582,0.011362958612992101,0.7029393911361694,0.006523153816711979,0.49409938942302356,0.015966905262214535,0.551930541341955,0.06524822800076274,0.5005520771850239,0.008651222119690228,11
enhancers_types,Mamba-bpe,5e-05,256,True,0.4485854987914746,0.01005254868107273,0.6996153822311988,0.005577481554002258,0.4979990858298082,0.015433447010272603,0.6172526662166302,0.0855400863289683,0.5028007580683782,0.0084130739072078,13
enhancers_types,Mamba-char,0.002,128,True,0.4624402837620841,0.009074139992428218,0.7090740766790178,0.007493398388845123,0.5062931146886613,0.012134618340296645,0.6113249676095115,0.05373934358510595,0.5094803935951657,0.0071841727298687045,18
human_enhancers_cohn,CNN,0.001,64,False,0.40875096917152404,0.014322469623604499,0.7024467468261719,0.008203549201687527,0.6993159413337707,0.019266437570536806,0.7098512411117553,0.037303886611789766,0.6956822156906128,0.07140438135067186,5
human_enhancers_cohn,Caduceus,0.001,128,True,0.4934702396392822,0.007828251635061578,0.7462003529071808,0.004137141752848667,0.7515595972537994,0.0063966985486608495,0.7364138603210449,0.014128020357229432,0.7682498514652252,0.024758835014799984,10
human_enhancers_cohn,HyenaDNA,6e-05,128,True,0.46887577726290774,0.0077427997954988455,0.7340352535247803,0.003859922809698166,0.7305283913245568,0.008893180312938757,0.7405557173949021,0.012860150544339916,0.7217793648059552,0.02858272451588058,13
human_enhancers_cohn,Mamba-bpe,1e-05,256,True,0.478410562643638,0.004440635991638554,0.7389176763021029,0.002292298750043296,0.741335602907034,0.0067405428867484745,0.7347295742768508,0.010579375409257848,0.7487932306069595,0.02379891238379678,13
human_enhancers_cohn,Mamba-char,0.001,256,True,0.472566164456881,0.009986760515376293,0.734965232702402,0.0054399671303824995,0.7398816713920007,0.014734759458903155,0.7272947476460383,0.022252474946779097,0.7562995415467483,0.0510547704053231,13
human_enhancers_ensembl,CNN,0.001,64,False,0.5488084495067597,0.04125758925216407,0.7670003414154053,0.030828652164081687,0.7747053623199462,0.024986522991534928,0.7619783997535705,0.07535360851082984,0.8055408477783204,0.10768695432840997,5
human_enhancers_ensembl,Caduceus,0.001,128,True,0.8218148708343506,0.005224294411520404,0.9106296539306641,0.0026712403936487816,0.9119177341461182,0.0028356024871062043,0.8990535736083984,0.009475413769006787,0.9253729462623597,0.01186619638083899,10
human_enhancers_ensembl,HyenaDNA,0.0006,256,True,0.7570318992321308,0.005454519278327519,0.878301583803617,0.0029240397377812487,0.8797960510620704,0.0021818213702441934,0.8693833672083341,0.01060574242816046,0.8906832887576177,0.010146423720203168,13
human_enhancers_ensembl,Mamba-bpe,0.0001,128,True,0.727579517023904,0.0314146599400582,0.8624359965324402,0.016246373124233188,0.8572206284318652,0.020274261745325046,0.8882389324051994,0.008597933797620019,0.8297246141093118,0.04552014655175496,14
human_enhancers_ensembl,Mamba-char,0.001,256,True,0.7432055748425997,0.05048911772986835,0.8710290285257193,0.026008304487942956,0.8718220683244559,0.028425530063965494,0.8648460507392883,0.02499560520580896,0.8802612928243784,0.04533017395410077,13
human_ensembl_regulatory,CNN,0.001,64,False,0.801168167591095,0.002774040196290405,0.8660267233848572,0.002160951768689224,0.8701355814933777,0.002223105527007244,0.8822338581085205,0.0018330082469817852,0.8650831341743469,0.002481838288910826,5
human_ensembl_regulatory,Caduceus,0.0005,128,False,0.8071240981419882,0.00809175536625161,0.869495024283727,0.006953695907855165,0.8728676537672678,0.007216920446666976,0.8857802351315817,0.002320387450198255,0.8683428963025411,0.008170519132317228,6
human_ensembl_regulatory,HyenaDNA,6e-05,128,True,0.7946338653564453,0.006103076761584871,0.8609378750507648,0.004886338892585961,0.8640545973410974,0.005257664830250375,0.878033303297483,0.0038027098175488594,0.8594784048887399,0.005291400423603117,13
human_ensembl_regulatory,Mamba-bpe,1e-05,128,True,0.8386357307434082,0.0025823094365997924,0.8917938709259033,0.001783478173635565,0.89280064702034,0.0018453232476307439,0.8989020943641662,0.0018270580438651146,0.8904955983161926,0.002052019658618511,10
human_ensembl_regulatory,Mamba-char,0.001,256,True,0.6052379241356483,0.13588159602564553,0.7325466000116788,0.09243746952650282,0.7359066880666293,0.09285611321956518,0.7591250951473529,0.09452986740971356,0.7324671745300293,0.0871713026451757,13
human_nontata_promoters,CNN,0.001,64,False,0.7209814429283142,0.007793414729059031,0.8599955797195434,0.0032418004910624828,0.8676428079605103,0.002916044255456996,0.8935827612876892,0.014833734248955885,0.8435401916503906,0.015028427975784268,5
human_nontata_promoters,Caduceus,0.001,256,True,0.8913493514060974,0.0033187964267522305,0.94510737657547,0.0014633485769764709,0.9482648015022278,0.001335646201989471,0.9732400953769684,0.009205248630387625,0.9246795535087585,0.008640977029957402,10
human_nontata_promoters,HyenaDNA,0.0006,256,True,0.8804861398843619,0.0072431156746544795,0.9395531370089605,0.003558709185391609,0.9428637669636653,0.00335962400273021,0.9705930581459632,0.006929815093539972,0.9167384000924917,0.00659655789100319,13
human_nontata_promoters,Mamba-bpe,0.0001,256,True,0.894918849835029,0.0038054963115871023,0.9470376784984882,0.0018712324630876,0.9501879352789658,0.0018242354450020853,0.9729695365979121,0.00703096352073205,0.9285390056096591,0.0073579555982902015,13
human_nontata_promoters,Mamba-char,0.001,256,True,0.9109581387959994,0.008247541259291575,0.9552204425518329,0.004299402306583096,0.9580138921737671,0.004209238281436369,0.9774650839658884,0.003478861022302094,0.9393692841896644,0.008415921262245808,13
human_ocr_ensembl,CNN,0.001,64,False,0.3929485261440277,0.017523504950051134,0.6946898698806763,0.010597161032477978,0.6933862209320069,0.034978834988001965,0.6966262817382812,0.02447380471290328,0.6972190380096436,0.08489671103702982,5
human_ocr_ensembl,Caduceus,0.001,128,False,0.6351434077535357,0.006204423159047414,0.8171206201825824,0.0033155875817005315,0.8196568063327244,0.004611579299513115,0.8087923186165946,0.014625622762118309,0.8315649117742266,0.023473016773374763,7
human_ocr_ensembl,HyenaDNA,0.0006,256,True,0.604758436863239,0.0036987062530432317,0.8021198281875024,0.0020317693522255626,0.8017024718798124,0.004389464008766416,0.8036813735961914,0.013177017993361961,0.8004031960780804,0.02123794337295757,13
human_ocr_ensembl,Mamba-bpe,5e-05,128,True,0.5452964260027959,0.005166785362535254,0.7723449331063491,0.002565139720252067,0.7762599358191857,0.0051036316366440595,0.7632011725352361,0.007905805054867506,0.7901429579808161,0.017149617319025888,13
human_ocr_ensembl,Mamba-char,0.002,256,True,0.6318909434171823,0.003486994625609699,0.8156658823673542,0.0017014565678815324,0.8168006447645334,0.004462218260661002,0.812000049994542,0.012355750570854392,0.8222925479595478,0.021195251839158383,13
mouse_0,CNN,0.001,64,False,0.2939545154571533,0.02906965180244042,0.6451851844787597,0.014146449052329738,0.6185057401657105,0.019938920345914025,0.6697090864181519,0.024125071213019853,0.5762962818145752,0.038115959747947376,5
mouse_0,Caduceus,0.002,128,False,0.6099831521511078,0.015096061767955147,0.803333330154419,0.008023110916675241,0.795036780834198,0.013530442211832906,0.8303949713706971,0.02435187898904825,0.7646913588047027,0.04077274246600726,10
mouse_0,HyenaDNA,0.0006,256,True,0.5233623564243317,0.02200315271358055,0.7598765373229981,0.012885978720219553,0.7514477670192719,0.025362584709102878,0.7790037274360657,0.029240882793391956,0.7303703606128693,0.06203818172476244,10
