task,model,best_lr,best_epoch,mcc_mean,mcc_std,accuracy_mean,accuracy_std,f1_mean,f1_std,precision_mean,precision_std,recall_mean,recall_std,replicate_count,source_files,same_source_file,num_source_files
demo_human_or_worm,DNABERT2,3e-05,6.0,0.9489147065634166,0.002709147059866109,0.9744333333333333,0.00137295302177459,0.9744278516854331,0.0013730393261344117,0.9745029599536628,0.0013533267625801468,0.9744117670029563,0.0013620842450045808,9,combined_results_repeated_07.21.2025.csv,True,1
demo_human_or_worm,GPT,0.0001,4.0,0.8361148032929798,0.0948382858254516,0.9174166666666667,0.048020221435002404,0.9173686701033549,0.048082932675049,0.91843508069887,0.04699556671701819,0.9176807442686435,0.04784346844819892,6,"combined_results_repeated_07.21.2025.csv, combined_results_orig_07.21.2025.csv",False,2
demo_human_or_worm,NTv2,0.0001,4.0,0.8649093007472803,0.002857977010205605,0.932275,0.0013375973484822381,0.9322705517277066,0.0013410489271552524,0.9325037674356769,0.0014505945015683406,0.9324055442412049,0.0014092485418344238,4,combined_results_orig_07.21.2025.csv,True,1
drosophilia_enhancers,DNABERT,3e-05,6.0,0.0,0.0,0.5267727930535456,0.0,0.3450236966824644,0.0,0.2633863965267728,0.0,0.5,0.0,10,combined_results_repeated_07.21.2025.csv,True,1
drosophilia_enhancers,DNABERT2,3e-05,4.0,0.5159370614950269,0.009953959540435408,0.7543415340086831,0.0038060139503279123,0.754255704078105,0.0037174797330811115,0.758593438673967,0.005514619329911392,0.7573459606143093,0.004444471884397023,4,combined_results_orig_07.21.2025.csv,True,1
drosophilia_enhancers,GPT,0.0001,4.0,0.18277891774398164,0.0956197360174629,0.5947901591895803,0.04410134972750369,0.5779408121070597,0.05655769093758141,0.5955924808776034,0.04544382473375603,0.5875245740498034,0.05003077384497335,4,"combined_results_repeated_07.21.2025.csv, combined_results_orig_07.21.2025.csv",False,2
dummy_mouse_enhancers,DNABERT,3e-05,4.0,0.25715699677995973,0.035754966809960216,0.6297520661157024,0.017916928420395706,0.6273925885412179,0.01805179720941177,0.6281373802602616,0.017724549166742418,0.629021558872305,0.018034322844457565,5,dnabert1_bridges_gb_anisa_replicates.csv,True,1
dummy_mouse_enhancers,DNABERT2,3e-05,10.0,0.48169140587159714,0.03634136784272446,0.715702479338843,0.023809686431219744,0.7131156501403512,0.026270549799391047,0.7497166030917349,0.018620325818696666,0.7325041459369818,0.020765493303043062,5,combined_results_orig_07.21.2025.csv,True,1
dummy_mouse_enhancers,GPT,0.0001,4.0,0.3673287466517296,0.03425352456594874,0.6790633608815426,0.02303201649154654,0.67734546141185,0.023917513629822116,0.6841190803217928,0.015396965692572456,0.6832504145936982,0.01904525503256187,6,"combined_results_repeated_07.21.2025.csv, combined_results_orig_07.21.2025.csv",False,2
dummy_mouse_enhancers,NTv2,0.0001,4.0,0.3898605529717352,0.1083240850376656,0.6934635612321564,0.05167167201818002,0.6904814192344125,0.05439034374100666,0.69526062253404,0.05313723086657215,0.6946203326800342,0.055183550918882184,11,"combined_results_repeated_07.21.2025.csv, combined_results_orig_07.21.2025.csv",False,2
enhancers,DNABERT,3e-05,3.0,0.5388951809244649,0.016736097676662256,0.7614444444444445,0.007373626676905313,0.7599201489270132,0.007355052599848842,0.7743604704870227,0.009808495729745254,0.7646356652672187,0.007486210503665595,3,combined_results_orig_07.21.2025.csv,True,1
enhancers,DNABERT2,3e-05,3.0,0.5232865815808331,0.008948885697153651,0.755,0.004841946348778032,0.7537900351662795,0.005081408287849598,0.7654309658069621,0.004532469200466291,0.7579130651678322,0.004700024854306775,3,combined_results_orig_07.21.2025.csv,True,1
enhancers,GPT,3e-05,3.0,0.47509579644516736,0.011699607488436894,0.7305555555555555,0.006994706993572023,0.7289603326656939,0.007583968676205649,0.7415430532055173,0.005365289563231263,0.7336258130760377,0.006637433457550622,3,combined_results_orig_07.21.2025.csv,True,1
enhancers,NTv2,0.0001,3.0,0.5994139391467103,0.0013386528989586812,0.7973333333333333,0.002027587510099375,0.7971609461619873,0.0021673309011578457,0.8006255706015595,0.0008890889697777222,0.7987929779355228,0.0013150124127083997,3,combined_results_orig_07.21.2025.csv,True,1
enhancers_types,DNABERT,3e-05,3.0,0.4946447927098044,0.021393430936742397,0.7277777777777777,0.010838887465117504,0.5205039159811851,0.027672846062971438,0.7159310988372037,0.11368259104329793,0.5235205765508796,0.01829264509485418,3,combined_results_orig_07.21.2025.csv,True,1
enhancers_types,DNABERT2,3e-05,3.0,0.4925183953570624,0.002358534305583409,0.7274444444444444,0.0022194427061597464,0.5816680584538623,0.008834288436304828,0.6230755065075863,0.011922736083366092,0.5687122866267251,0.013329296423740368,3,combined_results_orig_07.21.2025.csv,True,1
enhancers_types,GPT,3e-05,3.0,0.4466320257658933,0.003409876101068081,0.6983333333333333,0.004630814663150006,0.48164145092325406,0.013934197346915764,0.5161590782247222,0.06175487921385615,0.4938428592617541,0.006763872688336052,3,combined_results_orig_07.21.2025.csv,True,1
enhancers_types,NTv2,0.0001,3.0,0.5717880299927178,0.004639222889039862,0.771,0.0010000000000000286,0.6148519501646029,0.009666400053457877,0.7020601509927079,0.00368776528265892,0.5937824596469873,0.008093587210541141,3,combined_results_orig_07.21.2025.csv,True,1
human_enhancers_cohn,DNABERT,3e-05,4.0,0.3054017963082528,0.010636351401695835,0.6521770421014754,0.005190264790728206,0.6510378179002918,0.004794381893854525,0.6535818682221776,0.005814671896039456,0.6518287028642771,0.004916293450263726,10,anisa_finetune_results_with_lr_06.11.2025.csv,True,1
human_enhancers_cohn,DNABERT2,3e-05,6.0,0.49258630715680607,0.006262119240400799,0.7460237495501979,0.0034672839891274647,0.7457352766633146,0.00352410448589165,0.7467079920867372,0.003033419268136209,0.7458797718524812,0.003288201071956433,10,combined_results_repeated_07.21.2025.csv,True,1
human_enhancers_cohn,GPT,0.0001,4.0,0.36480431364722715,0.013814635228033478,0.6821398584622766,0.006761449549700039,0.681804922843682,0.0068201182659230405,0.6827178424183716,0.0069123413819495855,0.682087346032371,0.006912276818795876,6,"combined_results_repeated_07.21.2025.csv, combined_results_orig_07.21.2025.csv",False,2
